REFCODE;Formula;SymMol;Cryst_spgr;Spgr_N;C_x;C_y;C_z;Mol_R;Mol_V;Cell_a
QAMCAM50;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.46315;62.5966;6.6085
QAMCAM51;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.45049;61.6357;6.59455
QAMCAM53;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.39283;57.3867;6.5404
QAMCAM52;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.41363;58.8962;6.5636
QAMCAM54;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.44371;61.1257;6.4826
QAMCAM55;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.44089;60.9143;6.4119
QAMCAM56;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.36004;55.06;6.3533
QAMCAM57;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.41806;59.2211;6.3164
QAMCAM58;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.39178;57.3111;6.3069
QAMCAM59;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.46995;63.1161;6.2914
QAMCAM60;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.38111;56.5475;6.2795
QAMCAM61;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.36909;55.6955;6.3104
QAMCAM62;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.37423;56.0592;6.9486
QAMCAM64;C6 H12 N4;-4 3 m;I -4 3 m;217;0;0;0;2.44907;61.5288;6.273
YEYQAU;C12 O12 Ru4 Se4;-4 3 m;I -4 3 m;217;0;0;1;4.74168;446.551;10.308
RELQAD;C12 Ge4 H36 N4 Si4;-4 3 m;I -4 3 m;217;0;0;0;5.24835;605.541;11.2687
NEYSOA;C78 Cu17 H150 Mn28 N12 O92;-4 3 m;I -4 3 m;217;0;0;0;9.26285;3328.96;20.3441
NEYSOA;H2 O1;m m 2;I -4 3 m;217;0.1105;0.4852;0.1105;0.62637;1.02936;20.3441
NEYSOA;H2 O1;m m 2;I -4 3 m;217;0.127;0.3303;0.127;0.706986;1.48016;20.3441
