REFCODE;Formula;SymMol;Cryst_spgr;Spgr_N;C_x;C_y;C_z;Mol_R;Mol_V;Cell_a
ESOTAI;Au1 C2 F3 O1;3 m;I 21 3;199;0.852283;0.352283;0.147717;3.74317;219.682;9.6817
HEDGAY;C4 H9 I3 P1;3;I 21 3;199;0.201384;0.298616;0.701384;3.37524;161.061;13.613
POPPOA;C14 H30 N2;2;I 21 3;199;0.25;0.404172;0;5.67985;767.516;17.9117
YOBDIF;C24 Cl1 H39 N6 Ni1 P1;3;I 21 3;199;0.715379;0.715379;0.715379;6.14222;970.626;18.6158
YOBDIF;C1 F3 O3 S1;3;I 21 3;199;0.503434;0.496566;0.996566;1.91433;29.3852;18.6158
CIYJUQ;C36 Fe7 H72 N6 O18;-3;I 21 3;199;0.250018;0.249982;0.750018;7.00341;1438.81;22.1382
CIYJUQ;Cl1 O4;-4 3 m;I 21 3;199;0.09162;0.40838;0.59162;1.43712;12.4325;22.1382
CIYJUQ;Cl1 O4;-4 3 m;I 21 3;199;0.093824;0.093824;1.09382;1.42981;12.2437;22.1382
