REFCODE;Formula;SymMol;Cryst_spgr;Spgr_N;C_x;C_y;C_z;Mol_R;Mol_V;Cell_a
XASZIC;C24 H48 Mn1 O6;-3;P n -3;201;0.5;0;0;5.23418;600.651;14.825
XASZIC;F6 P1;m -3 m;P n -3;201;0.75;0.25;0.25;1.59784;17.0873;14.825
XASZIC;F6 P1;m -3 m;P n -3;201;0.25;0.25;0.25;1.59013;16.8412;14.825
XASZIC01;C24 H48 Mn1 O6;-3;P n -3;201;0;0;0;5.23451;600.763;15
XASZIC01;F6 P1;m -3 m;P n -3;201;0.25;-0.25;0.25;1.5987;17.115;15
XASZIC01;F6 P1;m -3 m;P n -3;201;0.25;0.25;0.25;1.5681;16.1509;15
LULZUO;C54 H120 Li6 N18;-3;P n -3;201;0;0.5;0;7.50113;1767.89;19.0172
VEDZOT;As6 C144 H120 P8 Pd9;2 3;P n 3;201;0.25;0.25;0.25;9.02551;3079.58;19.615
