REFCODE;Formula;SymMol;Cryst_spgr;Spgr_N;C_x;C_y;C_z;Mol_R;Mol_V;Cell_a
TAMXIQ;C2;m;I a -3 d;230;0.125;0.125;0.125;0.55382;0.711512;16.533
TAMXIQ;B1 C1 N1;1;I a -3 d;230;-0.0291067;0.125;0.2791;1.41376;11.836;16.533
GOYHUA;Al2 C22 H24 N6;2;I a -3 d;230;0.567745;0.625;0.317745;5.78889;812.574;32.2887
UXOXUB;C2;m;I a -3 d;230;0.125;0.125;0.125;0.544183;0.675009;16.536
UXOXUB;B1 C1 N1;1;I a -3 d;230;-0.029;0.125;0.279;1.41751;11.9303;16.536
QUZHAW;C28 Fe1 H24 N8 O2;2;I a -3 d;230;1;0.75;1.0139;6.6037;1206.25;34.1795
QUZHAW;C2 H3 N1;3 m;I a -3 d;230;0.947363;0.947363;0.947363;2.1178;39.7863;34.1795
VAJNEA;C28 Cu1 H24 N2 O4;2;I a -3 d;230;0.861784;0.111784;0.125;6.7321;1277.99;31.2451
QUZHAW;Cl1 O4;-4 3 m;I a -3 d;230;0.90641;0.912326;1.04641;1.43727;12.4362;34.1795
