REFCODE;Formula;SymMol;Cryst_spgr;Spgr_N;C_x;C_y;C_z;Mol_R;Mol_V;Cell_a
AMECUA;C6 Cu1 N5;3;P 21 3;198;0.247892;0.247892;0.247892;3.07674;121.997;11.626
AMECUA;Cl1 O4;-4 3 m;P 21 3;198;0.76032;0.76032;0.76032;1.43982;12.5026;11.626
AMECUA;Cl1 O4;-4 3 m;P 21 3;198;0.5432;0.5432;0.5432;1.41562;11.8827;11.626
ARUNOT;C12 Cl4 Cu1 H36 Mo3 N6 S4;3;P 21 3;198;0.599219;0.0992187;0.400781;5.45759;680.892;15.3959
ARUNOT;Cl2 Cu1;6/m;P 21 3;198;0.37449;0.37449;0.37449;2.13119;40.5452;15.3959
BEMQUF;B1 C6 H15 N2;3;P 21 3;198;0.0102;0.0102;0.0102;2.83284;95.2227;9.18
BIKJEK;C14 Co1 N4 S3;3;P 21 3;198;0.70665;0.70665;0.70665;4.68362;430.349;13.37
BIKJEK;Cl4 Zn1;-4 3 m;P 21 3;198;0.297686;0.297686;0.297686;2.28273;49.8241;13.37
BATVID;C27 H39 N1 O1 U1;3;P 21 3;198;0.239514;0.239514;0.239514;4.74727;448.134;13.4239
BINJOZ;C30 H45 N4;3;P 21 3;198;0.971567;0.528433;0.471567;8.10529;2230.39;15.3039
BINJOZ;Cl4 Co1;-4 3 m;P 21 3;198;0.867555;0.367555;0.132445;2.2808;49.6975;15.3039
AVUTAM;Au1 B1 C33 H37 N6 P1;3;P 21 3;198;0.928284;0.928284;0.928284;6.64761;1230.47;21.603
BURVOC;C6 H21 N4;3;P 21 3;198;0.463078;0.463078;0.463078;3.46143;173.717;10.1684
CEFPIM;C6 H6;-3 m;P 21 3;198;0.419375;0.419375;0.419375;2.22942;46.4145;17.413
BAXJUI;C48 Fe1 H63 N9;3;P 21 3;198;0.0769989;0.576999;-0.0769989;9.63033;3741.1;17.0031
BAXJUI;B1 F4;-4 3 m;P 21 3;198;0.788724;0.711276;0.288724;1.38993;11.2475;17.0031
BAXJUI;B1 F4;-4 3 m;P 21 3;198;0.226186;0.273814;0.726186;1.39059;11.2636;17.0031
CEFPIM;C6 H6;6/m m m;P 21 3;198;0.279617;0.279617;0.279617;2.3549;54.7004;17.413
CORQAC;C19 H18 P1;3;P 21 3;198;0.0637355;0.436264;0.563736;5.27672;615.414;15.4168
CORQAC;C19 H18 P1;3;P 21 3;198;0.272824;0.272824;0.272824;5.2502;606.182;15.4168
AVUTAM;Au1 B1 C33 H37 N6 P1;3;P 21 3;198;0.626487;0.626487;0.626487;6.73373;1278.92;21.603
CORQAC;Cl4 Zn1;-4 3 m;P 21 3;198;-0.190298;0.309702;0.190298;2.28729;50.1233;15.4168
BUKSAC;C30 H69 N12 Ni3 S3;3;P 21 3;198;1.03973;0.539727;0.960273;7.1903;1557.1;17.3804
BUKSAC;Cl1 O4;-4 3 m;P 21 3;198;0.937362;0.562638;0.437362;1.42097;12.018;17.3804
BUKSAC;Cl1 O4;-4 3 m;P 21 3;198;0.35629;0.14371;0.85629;1.43514;12.3811;17.3804
BUKSAC;Cl1 O4;-4 3 m;P 21 3;198;0.197302;0.697302;0.802698;1.44904;12.7444;17.3804
DACGIA;C30 Co1 H24 N6;3;P 21 3;198;-0.00104426;0.501044;0.498956;5.84327;835.689;18.2027
AVUTAM;Au1 B1 C33 H37 N6 P1;3;P 21 3;198;0.27158;0.271581;0.271581;6.71362;1267.5;21.603
CEFPIM;C42 H42 N1 Ni1 P7 Se3;3;P 21 3;198;0.045601;0.045601;0.045601;7.06885;1479.52;17.413
DANKUZ;C23 Cl1 Co1 H38 N4 O2;1;P 21 3;198;0.179918;0.510103;0.197016;7.5693;1816.53;21.023
DANKUZ;Cl4 Co1;3 m;P 21 3;198;0.950296;0.950296;0.950296;2.28967;50.2801;21.023
DAEAZN01;Br1 C12 H30 N4 Zn1;3;P 21 3;198;0.764464;0.264464;0.235536;4.09119;286.829;12.0322
DEMCIH;B1 C3 Cl1 F9;3;P 21 3;198;0.488586;0.488586;0.488586;2.53042;67.8662;9.8059
DEMDUU;B1 Br1 C3 F9;3;P 21 3;198;0.489359;0.489359;0.489359;2.50243;65.6392;9.9001
DMAECO01;Br1 C12 Co1 H30 N4;3;P 21 3;198;0.236206;0.763794;0.263794;4.06277;280.895;12.0768
DMAECO02;Br1 C12 Co1 H30 N4;3;P 21 3;198;-0.0143502;0.98565;0.98565;4.05304;278.882;12.0262
DACGOG;C30 H24 N6 Ni1;3 2;P 21 3;198;1.00181;0.49819;0.50181;5.7864;811.525;18.1944
DMAECU01;Br1 C12 Cu1 H30 N4;3;P 21 3;198;0.486681;1.01332;-0.0133185;4.09721;288.098;12.0005
DMAECU02;Br1 C12 Cu1 H30 N4;3;P 21 3;198;0.26309;0.26309;0.26309;4.08432;285.388;12.0512
DORBIY;Be1 Br1 C15 H15 N3;3;P 21 3;198;0.392947;0.607053;0.107053;5.22767;598.413;11.8814
DAZPUS03;C43 H64;3;P 21 3;198;0.838372;0.161628;0.661628;7.40765;1702.62;19.8599
DACGIA;C27 H42 O16 U2;3;P 21 3;198;0.191193;0.808807;0.308807;6.59019;1198.86;18.2027
ELUZOA;C18 H21 N4;3;P 21 3;198;0.363543;0.363543;0.363543;5.69594;774.056;13.2054
ELETIZ;C30 Cu1 H39 N1 S3;3;P 21 3;198;0.819476;0.819476;0.819476;8.2274;2332.73;29.5335
DACGOG;C27 H42 O16 U2;3;P 21 3;198;0.810104;0.189896;0.689896;6.57207;1189;18.1944
EWEGAR;Ag3 C12 H36 N6 Rh2 S6;3;P 21 3;198;0.86387;0.86387;0.86387;5.82526;827.983;19.38
DAZPUS03;C43 H64;3;P 21 3;198;0.663283;0.336717;0.836717;7.41202;1705.63;19.8599
FADKOK;As3 C9 Cl6 In2 O3;-6;P 21 3;198;0.532583;0.532583;0.532583;4.28717;330.057;13.846
ELETIZ;C30 Cu1 H39 N1 S3;3;P 21 3;198;0.803737;0.696263;0.303737;8.22694;2332.34;29.5335
FAQCAC;C4 H12 N1;2 3;P 21 3;198;0.593506;0.906494;1.09351;2.03168;35.1268;10.5828
FAQCAC;O4 S1;-4 3 m;P 21 3;198;0.504428;0.495572;0.995572;1.47871;13.5434;10.5828
ELETIZ;C30 Cu1 H39 N1 S3;1;P 21 3;198;0.901057;0.305547;0.559865;8.39305;2476.49;29.5335
ELETIZ;C30 Cu1 H39 N1 S3;1;P 21 3;198;0.942577;0.400747;0.306047;8.34269;2432.17;29.5335
EWEGEV;Ag3 C12 H36 N6 Rh2 S6;3 2;P 21 3;198;0.136103;0.136103;0.136103;5.8165;824.253;19.381
ELETIZ;B1 F4;-4 3 m;P 21 3;198;0.888782;0.388782;0.111218;1.38432;11.1117;29.5335
ELETIZ;B1 F4;-4 3 m;P 21 3;198;0.116694;0.616694;0.883306;1.38094;11.0306;29.5335
FAQCAC;C1 H6 N3;-6 m 2;P 21 3;198;0.63596;0.63596;0.63596;1.90346;28.8871;10.5828
ELETIZ;B1 F4;-4 3 m;P 21 3;198;0.82137;0.099972;0.208978;1.37326;10.8476;29.5335
ELETIZ;B1 F4;-4 3 m;P 21 3;198;0.778488;0.165424;0.9029;1.37201;10.818;29.5335
FEGYEV;C7 H13 N1;3 m;P 21 3;198;0.411586;0.411586;0.411586;2.39079;57.2403;10.906
FEGYEV;Br4 C1;3 m;P 21 3;198;0.09756;0.09756;0.09756;2.01062;34.0462;10.906
EWEGAR;Ag3 C12 H36 N6 Rh2 S6;3 2;P 21 3;198;0.388897;0.388897;0.388897;5.78213;809.727;19.38
EWEGAR;C4 H4 O5;1;P 21 3;198;0.498667;0.63823;0.722763;3.13205;128.696;19.38
FESPIC;C18 H21 N4;3;P 21 3;198;-0.118179;-0.118179;-0.118179;5.68251;768.594;12.6301
FESPIC;N1 O3;-6 m 2;P 21 3;198;0.374375;0.374375;0.374375;1.24273;8.03904;12.6301
FESPIC;O4 S1;-4 3 m;P 21 3;198;-0.290076;-0.290076;-0.290076;1.48704;13.7735;12.6301
EWEGEV;Ag3 C12 H36 N6 Rh2 S6;3 2;P 21 3;198;0.610973;0.610973;0.610973;5.77434;806.46;19.381
EWEGEV;C4 H4 O5;1;P 21 3;198;0.501367;0.361439;0.277157;3.13916;129.574;19.381
FAQCIK;C4 H12 N1;2 3;P 21 3;198;0.419818;0.0801824;0.919818;2.04113;35.6193;10.8802
FOZWAT;C32 H36 O2;1;P 21 3;198;0.132934;0.100264;0.750374;6.57284;1189.42;20.029
FUBZOR;C4 Co1 O4;3 m;P 21 3;198;0.295822;0.295822;0.295822;3.02345;115.767;8.898
FUBZOR01;C4 Co1 O4;3;P 21 3;198;0.288622;0.288622;0.288622;3.12951;128.382;8.789
FURWIY;C6 H18 Ni3 S7;3;P 21 3;198;1.03201;1.03201;1.03201;5.27463;614.685;13.801
FAQCIK;C1 H6 N3;-6 m 2;P 21 3;198;-0.36096;-0.13904;0.13904;1.92675;29.9609;10.8802
FAQCIK;Mo1 O4;-4 3 m;P 21 3;198;0.001388;0.001388;0.001388;1.76744;23.1265;10.8802
FEMYAY;C39 H63 Mo1 N4 Si1;3;P 21 3;198;0.569732;0.930268;1.06973;6.35847;1076.8;16.5578
FUYBOQ;C18 H42 N6 Ni1;3;P 21 3;198;0.377663;0.377663;0.377663;6.40917;1102.76;13.829
FEMYAY;C1 F3 O3 S1;3 m;P 21 3;198;0.921441;0.578559;1.42144;1.88429;28.0231;16.5578
FORKON;C39 H60 N12 O1 Zn4;3;P 21 3;198;0.768499;0.231501;0.731501;6.31571;1055.22;16.5114
GANLIR;C30 F3 H42 N6 Si3 Ti1;3;P 21 3;198;0.812996;0.312996;0.187004;6.13976;969.46;15.08
GECDIB;C15 Co1 H36 N6;3;P 21 3;198;0.226258;0.226258;0.226258;4.51458;385.415;12.871
GENWAZ;C30 Co1 H33 N7 O6;3;P 21 3;198;0.561058;0.438942;-0.0610579;6.44479;1121.25;15.4332
GENWAZ;Cl4 Co1;-4 3 m;P 21 3;198;0.607507;0.892493;0.107507;2.28924;50.2513;15.4332
FURWIY;C4 H12 N1;-4 3 m;P 21 3;198;0.207147;0.207147;0.207147;2.00577;33.8002;13.801
GEWNAX;C6 Co1 H18 N6 S3;3;P 21 3;198;0.0491626;0.0491626;0.0491626;5.05527;541.14;12.003
FURWIY;C4 H12 N1;2 3;P 21 3;198;0.473076;0.473076;0.473076;2.04423;35.7822;13.801
GIHWOK;C18 Cl1 Cu1 H18 N4;3;P 21 3;198;0.862621;0.362621;0.137379;5.59338;732.991;12.4157
GINJEU;C6 H24 N6 Ni1;3;P 21 3;198;0.758348;0.241652;0.741652;3.85111;239.239;21.4954
GINJEU;C6 H24 N6 Ni1;3;P 21 3;198;0.86512;0.36512;1.13488;3.79121;228.25;21.4954
GAXSUT;C12 Cu1 H36 P4;3;P 21 3;198;0.0406928;0.0406928;0.0406928;4.29773;332.502;13.666
GAXSUT;C2 Cu1;6/m;P 21 3;198;0.362633;0.362633;0.362633;1.94964;31.0411;13.666
GOQXES;C21 F3 H12 Np1 O8;3;P 21 3;198;0.424502;0.575498;1.0755;8.05736;2191.06;13.0933
GOQXES;H4 N1;-4 3 m;P 21 3;198;1.17066;0.67066;0.82934;0.872206;2.77928;13.0933
GINJEU;C12 H48 N12 Ni3 O7 W1;3;P 21 3;198;0.981022;0.0189781;0.518978;7.12403;1514.44;21.4954
GOQXIW;C21 F3 H12 O8 Pu1;3;P 21 3;198;0.575274;0.424726;-0.075274;8.05707;2190.82;13.0817
GOQXIW;H4 N1;-4 3 m;P 21 3;198;-0.17074;0.32926;0.17074;0.846056;2.53672;13.0817
GOQXOC;C21 F3 H12 O8 U1;3;P 21 3;198;0.67407;0.32593;0.82593;8.05561;2189.63;13.105
GOQXOC;H4 N1;-4 3 m;P 21 3;198;0.92048;0.42048;1.07952;0.893093;2.98377;13.105
HAJKUZ;C27 H45 N7 Ni1;3;P 21 3;198;0.310677;0.189323;0.810677;5.58145;728.309;14.0195
GESHOB;Bi1 C36 H81 O9 S3 Si3;3;P 21 3;198;0.768101;0.768101;0.768101;7.57741;1822.38;17.793
HIWQEJ;C1 H3 O3;3;P 21 3;198;1.11164;0.888357;1.38836;1.4244;12.1053;8.6
HIWQEJ;As1 F6;m -3 m;P 21 3;198;0.885571;0.885571;0.885571;1.70336;20.701;8.6
GEYPAB;C32 Co8 O44 Si8;3;P 21 3;198;1.24651;0.253489;0.746511;7.98683;2134.02;18.321
HUKTUC;B1 C12 H9 O3;3;P 21 3;198;0.530958;0.530958;0.530958;4.67491;427.954;10.2961
IBIXIA;C19 H18 P1;3;P 21 3;198;-0.313676;-0.686324;-0.186324;5.26202;610.287;15.4804
IBIXIA;C19 H18 P1;3;P 21 3;198;-0.0220292;-0.522029;0.0220292;5.25933;609.352;15.4804
IBIXIA;Cl4 Mn1;-4 3 m;P 21 3;198;-0.058728;-0.058728;-0.058728;2.38137;56.5663;15.4804
IBIXIA01;C19 H18 P1;3;P 21 3;198;0.813057;0.813057;0.813057;5.25956;609.429;15.5417
