REFCODE;Formula;SymMol;Cryst_spgr;Spgr_N;C_x;C_y;C_z;Mol_R;Mol_V;Cell_a
LAZFIC;C12 H24 O6;-3 m;F d -3;203;0.5;0;0;4.53034;389.464;21.379
LAZFIC;I4 Tl1;-4 3 m;F d -3;203;0.125;0.125;0.125;2.76092;88.1531;21.379
WUXSUF;C1 O3;-6 m 2;F d -3;203;0.0320625;0.717938;0.532062;1.28793;8.94851;13.9959
LIXGIJ;C36 Cl16 Fe8 H24 N24 O4;2 3;F d -3;203;0.125;0.625;0.625;7.26917;1608.91;25.934
PIHCUG;B4 C60 H88 N24 S4 Y4;2 3;F d -3;203;0.625;0.625;1.125;8.64333;2704.7;24.966
HISMUT;C112 H72 N12 O24 Zn10;2 3;F d -3;203;0.125;1.125;0.125;8.62234;2685.04;31.605
