REFCODE;Formula;SymMol;Cryst_spgr;Spgr_N;C_x;C_y;C_z;Mol_R;Mol_V;Cell_a
FUBYUW;C4 Co1 O4;-4 3 m;P -4 3 m;215;0.5;0.5;0.5;2.88739;100.83;5.542
YUMNUP;B4 C16 H36 Zr1;-4 3 m;P -4 3 m;215;1;1;1;4.99199;521.072;8.666
