,Unnamed: 0,REFCODE,Formula,SymMol,Cryst_spgr,Spgr_N,C_x,C_y,C_z,Mol_R,Mol_V,Cell_a,CCDC_ID
47,47,RUHJEK,Cl1 O4,-4 3 m,F 2 3,196,-0.25,-0.25,-0.25,1.42652,12.1592,21.3922,810641
48,48,RUHJEK,Cl1 O4,3 m,F 2 3,196,0.38028,0.38028,0.38028,1.57166,16.2612,21.3922,810641
49,49,RALYAF,C60 H96 La1 N12 Ni6 O24,2 3,F 2 3,196,0.0,0.0,0.0,7.59881,1837.86,21.305,778355
50,50,RALYAF,C4 N1,-4 3 m,F 2 3,196,0.25,0.25,0.25,1.36535,10.6612,21.305,778355
51,51,RALYAF,Cl1 O4,3 m,F 2 3,196,0.37864,0.37864,0.37864,1.34483,10.1878,21.305,778355
52,52,TIRTEV,Au4 C72 Co2 H84 N4 O8 P4 S4,2,F 2 3,196,0.25,0.497168,0.25,8.45182,2528.87,38.1102,889422
53,53,RUHJIO,C60 Co6 H96 La1 N12 O24,2 3,F 2 3,196,0.0,0.0,0.0,7.65818,1881.28,21.3387,810645
54,54,RUHJIO,Cl1 O4,-4 3 m,F 2 3,196,-0.25,-0.25,-0.25,1.41925,11.9744,21.3387,810645
55,55,RUHJIO,Cl1 O4,3 m,F 2 3,196,0.37818,0.37818,0.37818,1.4443,12.6197,21.3387,810645
56,56,RUHJOU,Ba1 C60 Co6 H96 N12 O24,2 3,F 2 3,196,0.0,0.0,0.0,7.7726,1966.86,21.6884,810649
57,57,RUHJOU,C4 N1,-4 3 m,F 2 3,196,0.5,0.5,0.5,1.49135,13.8935,21.6884,810649
58,58,RUHJOU,C4 N1,-4 3 m,F 2 3,196,0.25,0.25,0.25,1.37489,10.8864,21.6884,810649
59,59,RUHJOU,Cl1 O4,3 m,F 2 3,196,0.383,0.383,0.383,1.25338,8.2476,21.6884,810649
60,60,RUHJUA,C60 Co6 H96 La1 N12 O24,2 3,F 2 3,196,0.0,0.0,0.0,7.69312,1907.14,21.588,810652
61,61,RUHJUA,C4 N1,-4 3 m,F 2 3,196,0.25,0.25,0.25,1.40966,11.7333,21.588,810652
62,62,RUHJUA,Cl1 O4,-4 3 m,F 2 3,196,0.37508,0.37508,0.37508,1.4478,12.7116,21.588,810652
63,0,DABDEQ,B12 H12,1,F 41 3 2,210,0.5,0.5,0.5,2.79457,91.4162,16.4321,148098
64,1,DABDEQ,H2 O1,m m 2,F 41 3 2,210,0.125,0.0286733,0.221327,0.620227,0.999371,16.4321,148098
65,2,DABDEQ,H12 Mg1 O6,2 3,F 41 3 2,210,0.0,0.0,0.0,2.89378,101.502,16.4321,148098
66,0,ISIDET,B1 C12 H16 N4 S8,-4,F -4 3 c,219,0.5,0.5,0.75,4.6886,431.722,30.0302,409718
67,1,ISIDET,B1 C12 H16 N4 S8,-4,F -4 3 c,219,0.75,0.75,1.0,4.67779,428.743,30.0302,409718
68,2,KTMSIO01,C3 H9 O1 Si1,3,F -4 3 c,219,0.604482,0.604482,0.604482,2.38177,56.5948,17.573,492885
69,3,KEMLOD01,C16 Co4 O16 Sn1,2 3,F -4 3 c,219,0.0,0.0,0.0,5.61866,742.977,17.301,471311
70,4,KEMLOD,C16 Co4 O16 Sn1,2 3,F -4 3 c,219,0.0,0.0,0.0,5.56786,723.005,17.255,471310
71,5,XIFDAR01,C12 F4 Ga4 H36 K4,2 3,F -4 3 c,219,0.5,0.5,0.5,5.82473,827.76,17.76,1056651
72,6,KTMSIO02,C12 H36 K4 O4 Si4,2 3,F -4 3 c,219,0.75,0.75,0.75,5.80808,820.681,17.6225,492886
73,7,ZAXSIE,Br4 Si1,-4 3 m,F -4 3 c,219,0.5,0.5,1.0,2.14275,41.2087,17.5378,1177411
74,8,ZAXSIE,Cl12 Si5,2 3,F -4 3 c,219,0.75,0.75,0.75,3.59128,194.009,17.5378,1177411
75,9,ZETFUZ,C72 Cd8 Cl4 S13,2 3,F -4 3 c,219,0.0,0.0,0.0,7.71867,1926.21,27.597,1136419
76,10,ZETFUZ,Cd1 O6,m -3 m,F -4 3 c,219,0.25,0.25,0.25,2.19948,44.5694,27.597,1136419
77,11,VAGCUE,C72 Cd1 H96 N8 O8 Se4,-4,F -4 3 c,219,0.0,0.0,0.25,8.19925,2308.87,39.4115,951534
78,12,VAGCUE,Cl1 O4,3 m,F -4 3 c,219,0.122298,0.122298,0.122298,1.20167,7.26828,39.4115,951534
79,13,VAGCUE,Cl1 O4,-4 3 m,F -4 3 c,219,0.5,0.0,0.0,1.35365,10.3895,39.4115,951534
80,14,KEHVEA,C84 H48 Ni8 O112 P16 U12,2 3,F -4 3 c,219,0.5,0.5,0.0,11.5185,6401.21,36.38,469658
81,0,BOWYUJ,C4 H12 P1,-4 3 m,F -4 3 m,216,0.25,0.75,0.25,2.32876,52.8994,11.133,83931
82,1,BOWYUJ,Br4 Fe1,-4 3 m,F -4 3 m,216,0.25,0.25,0.25,2.33593,53.3896,11.133,83931
83,2,PIZFAF,C6 H12 N4,-4 3 m,F -4 3 m,216,0.25,0.25,0.25,2.42272,59.5644,13.571,709576
84,3,PIZFAF,Br4 C10 H12,-4 3 m,F -4 3 m,216,0.0,0.0,0.0,3.47884,176.351,13.571,709576
85,4,PIZFAF,Br4 C1,-4 3 m,F -4 3 m,216,0.5,0.5,0.5,1.90866,29.1247,13.571,709576
86,0,LAZFIC,C12 H24 O6,-3 m,F d -3,203,0.5,0.0,0.0,4.53034,389.464,21.379,511104
87,1,LAZFIC,I4 Tl1,-4 3 m,F d -3,203,0.125,0.125,0.125,2.76092,88.1531,21.379,511104
88,2,WUXSUF,C1 O3,-6 m 2,F d -3,203,0.0320625,0.717938,0.532062,1.28793,8.94851,13.9959,1035933
89,3,LIXGIJ,C36 Cl16 Fe8 H24 N24 O4,2 3,F d -3,203,0.125,0.625,0.625,7.26917,1608.91,25.934,528666
90,4,PIHCUG,B4 C60 H88 N24 S4 Y4,2 3,F d -3,203,0.625,0.625,1.125,8.64333,2704.7,24.966,703788
91,5,HISMUT,C112 H72 N12 O24 Zn10,2 3,F d -3,203,0.125,1.125,0.125,8.62234,2685.04,31.605,356209
92,0,FIMCOT,C4 F12 Ge4 S6,-4 3 m,F d 3 m,227,0.125,0.125,0.125,4.72662,442.312,15.826,264782
93,1,ZNOXAC01,C12 O13 Zn4,-4 3 m,F d 3 m,227,0.125,0.125,0.125,5.09282,553.288,16.402,1144930
94,2,FIMCUZ,C4 F12 Ge4 Se6,-4 3 m,F d 3 m,227,0.125,0.125,0.125,4.82289,469.892,16.056,264789
95,3,BIZGOH,C24 Cu1 H48 N12 P4,-4 3 m,F d -3 m,227,0.125,0.125,0.125,6.23231,1013.97,19.795,75299
96,4,BIZGOH,H2 O1,m m 2,F d -3 m,227,0.375,0.139667,0.375,0.661954,1.21495,19.795,75299
97,0,ZIDYET04,Cl1 O4,-4 3 m,F m -3 c,226,0.5,0.5,0.25,1.40581,11.6373,14.5212,1139140
98,1,SECJUI,B12 F12,1,F m -3 c,226,0.5,0.5,0.5,3.08397,122.859,14.4176,827998
99,0,ZIDYET04,Cl1 O4,-4 3 m,F m -3 c,226,0.5,0.5,0.25,1.40581,11.6373,14.5212,1139140
