REFCODE;Formula;SymMol;Cryst_spgr;Spgr_N;C_x;C_y;C_z;Mol_R;Mol_V;Cell_a
BALZUJ;C12 O16 Re4;-4 3 m;P n 3 m;224;0.25;0.25;0.25;4.64583;420.016;11.343
BALZUJ;C6;6/m m m;P n 3 m;224;0.5;0.5;0.5;1.36994;10.7691;11.343
FLOHMN01;C6 H6;6/m m m;P n 3 m;224;0.5;0.5;0;2.45202;61.7514;11.2472
FLOHMN01;C12 H4 Mn4 O16;-4 3 m;P n 3 m;224;0.75;0.75;0.75;4.40539;358.12;11.2472
