REFCODE;Formula;SymMol;Cryst_spgr;Spgr_N;C_x;C_y;C_z;Mol_R;Mol_V;Cell_a
EBEMOQ;C38 H44 O6;1;P n 3 n;222;0.947381;0.211373;0.436328;6.73151;1277.65;36.2381
FIRTOP10;C60 H60 N8 Ni2;4 2 2;P n 3 n;222;0.75;0.25;0.75;8.26809;2367.51;20.841
