REFCODE;Formula;SymMol;Cryst_spgr;Spgr_N;C_x;C_y;C_z;Mol_R;Mol_V;Cell_a
ANTTFA;C6 F9 O6 Sb1;3;P 43 3 2;212;-0.00629955;-0.00629955;-0.00629955;4.7157;439.252;13.84
NIRQOU;C6 Fe1 O12;3;P 43 3 2;212;0.986647;0.986647;0.986647;4.03806;275.801;13.536
GUANSL02;C1 H6 N3;-6 m 2;P 43 3 2;212;0.467613;0.217613;0.375;1.91726;29.5202;17.8273
GUANSL02;C1 H6 N3;1;P 43 3 2;212;0.411193;-0.165028;0.361335;1.95498;31.297;17.8273
GUANSL02;C1 H6 N3;-6 m 2;P 43 3 2;212;0.125;-0.125;0.375;1.91615;29.4688;17.8273
GUANSL02;O4 S1;-4 3 m;P 43 3 2;212;0.297504;0.047504;0.375;1.48331;13.6701;17.8273
GUANSL02;O4 S1;-4 3 m;P 43 3 2;212;0.444742;0.444742;0.444742;1.48701;13.7727;17.8273
VIDTAG;C6 Fe1 O12;3 2;P 43 3 2;212;0.261478;0.738522;0.238522;4.01232;270.559;13.8058
WIBCUF02;C18 H15 I2 Sb1;3 2;P 43 3 2;212;0.375;0.125;0.875;5.80735;820.37;12.365
ZZZWMY01;C21 Cl2 H12 Sb1;3 2;P 43 3 2;212;0.125;0.125;0.125;6.38514;1090.4;12.729
ZZZWNC01;Br2 C21 Sb1;3 2;P 43 3 2;212;0.875;0.375;1.125;6.40853;1102.43;12.859
EWEPOO;Ag3 C12 Co2 H36 N6 S6;3 2;P 43 3 2;212;0.363813;0.363813;0.363813;5.74949;796.092;19.2722
EWEPOO;C4 H4 O6;2;P 43 3 2;212;0.249673;0.0003275;0.125;2.79726;91.6798;19.2722
ZZZWNC02;Br2 C21 H18 Sb1;3 2;P 43 3 2;212;0.875;0.375;1.125;6.75638;1291.87;12.7068
ZZZWMY02;C21 Cl2 H12 Sb1;3 2;P 43 3 2;212;0.875;0.625;0.375;6.40813;1102.22;12.6113
REYGIL;C15 Cl3 N3 O8 Os3 S2;3 2;P 43 3 2;212;0.625;0.625;0.625;6.39492;1095.42;13.458
EWEPAA;Ag3 C12 H36 N6 Rh2 S6;3 2;P 43 3 2;212;0.363928;0.363928;0.363928;5.77704;807.592;19.3336
EWEPAA;C4 H4 O6;2;P 43 3 2;212;0.248977;0.00102343;0.125;2.80998;92.9362;19.3336
