REFCODE;Formula;SymMol;Cryst_spgr;Spgr_N;C_x;C_y;C_z;Mol_R;Mol_V;Cell_a
LOSZAX;C32 Eu2 O44 Ti8;4/m m m;I m -3 m;229;0;0;0.5;7.14858;1530.16;24.59
LOSZAX;C2 N1;1;I m -3 m;229;0.1854;0.366067;0.1854;1.39435;11.3551;24.59
