REFCODE;Formula;SymMol;Cryst_spgr;Spgr_N;C_x;C_y;C_z;Mol_R;Mol_V;Cell_a
DOPSIK;C20;1;F m -3;202;0;0;0;2.1589;42.1478;10.61
FUYZOO01;B12 H12;1;F m -3;202;0;0;0;2.77077;89.0996;10.629
JINVAE;B12 H12;1;F m -3;202;0;0;0;2.84547;96.5028;10.8781
GALGUV01;B12 H12;1;F m -3;202;0;0;0;2.72219;84.4952;10.8674
POPMIT;C8 Cu1 H14 Mo6 O24;m m m;F m -3;202;0;0.25;0.25;4.61832;412.599;28.7381
POPMUF;C8 H14 Mo6 Ni1 O24;-3 m;F m -3;202;0.25;0;0.25;4.56761;399.156;28.8174
DOPSIK01;C20 H20;1;F m -3;202;-1e-05;-5e-06;5e-06;3.19239;136.278;10.6444
